"Material übersicht / Sammlung";;;;;;"Für WS";;;;;;;;;;
;;;;;;"Menge";"Summe";;;;"order";;;;;
"Bereich";"Produkt";"url";"Preis";"menge je TN";"preis TN";10TN;281,65 €;"comment 1";"comment 2";"comment 3";"date";"shop";"orig manufacture link";;;
;"BNO085 - 9-DOF Orientation IMU Fusion";"https://learn.adafruit.com/adafruit-9-dof-orientation-imu-fusion-breakout-bno085/python-circuitpython";31,00 €;0;0,00 €;0;0,00 €;"mega nices spielzeug..";;;;;;;;
;;;;;;;;;;;;;;;;
"cable / power";"STEMMA QT JST SH 4-pin Cable - 100mm";"https://eckstein-shop.de/STEMMAQT2FQwiicJSTSH4-pinCable-100mmLongforallSensor2FDriverBoardswithQwiic";1,50 €;0;0,00 €;0;0,00 €;"für sensor..";"kompromiss-variante";;;;;;;
;"STEMMA QT JST SH 4-pin Cable - 300mm";"https://www.mouser.de/ProductDetail/485-5384";1,40 €;1;1,40 €;10;14,04 €;"für sensor..";;;;;;;;
;"usb c - usb c 0.5m";"https://www.reichelt.de/usb-2-0-kabel-c-stecker-auf-c-stecker-0-5-m-efb-usbcusb20ck5-p330175.html?&nbc=1";3,20 €;0;0,00 €;0;0,00 €;"powerbank - board";"half: powerbank - led streifen";;;;;;;
;"usb c - freie enden 0.2m";"https://www.reichelt.de/usb-c-stecker-auf-freie-enden-sw-20-cm-usb-c-awg22-20-p292505.html";2,05 €;0;0,00 €;0;0,00 €;"powerbank - led streifen";;;;;;;;
;"usb c - freie enden 0.5m";"https://www.reichelt.de/usb-c-stecker-auf-freie-enden-sw-50-cm-usb-c-awg22-50-p292506.html?&trstct=vrt_pdn&nbc=1";2,41 €;0;0,00 €;0;0,00 €;"powerbank - led streifen";;;;;;;;
;"usb c - usb c 1m";"https://www.reichelt.de/usb-2-0-kabel-c-stecker-auf-c-stecker-1-0-m-efb-usbcusb20ck1-p330176.html?&trstct=pol_1&nbc=1";3,80 €;0;0,00 €;0;0,00 €;"halbiert für powerbank - led streifen";;;;;;;;
;"usb c - usb c 2m";"https://www.reichelt.de/usb-2-0-kabel-c-stecker-auf-c-stecker-2-0-m-efb-usbcusb20ck2-p330177.html?&trstct=vrt_pdn&nbc=1";5,30 €;0;0,00 €;0;0,00 €;"praktisch fürs testen";;;;;;;;
;"usb A - usb A 1 m";"https://www.reichelt.de/usb-2-0-kabel-a-stecker-auf-a-stecker-1-m-ak-670-2-1-0-efb-p227384.html?&trstct=pol_2&nbc=1";1,29 €;0;0,00 €;0;0,00 €;"halbiert für powerbank - led streifen";"und led-streifen-controller";;;;;;;
;;;;;;;;;;;;;;;;
;"ADILIFT Kurzes Typ C Kabel 0.2M 3A USB A auf USB C";"https://www.amazon.de/dp/B08QM7MY26/?th=1";7,70 €;0;0,00 €;0;0,00 €;"powerbank - controller";;;;;;;;
;;;;;;;;;;;;;;;;
;"high side switch - AP228X4AW5-7";"https://www.mouser.de/ProductDetail/Diodes-Incorporated/AP22814BW5-7?qs=lqAf%2FiVYw9gFAqm%252B3YvdqA%3D%3D";0,44 €;0;0,00 €;0;0,00 €;"led strip power controll";"combine with QT Py ESP32-S3";"discussion for high side switch:  https://electronics.stackexchange.com/questions/664527/irlml9301pbf-as-high-side-switching-for-5-v-2-a-load-from-a-3-3-v-uc";;;;;;
;"1N 4001 Gleichrichterdiode, 50 V, 1 A, DO-41";"https://www.reichelt.de/gleichrichterdiode-50-v-1-a-do-41-1n-4001-p1723.html?&trstct=pos_0&nbc=1";0,05 €;0;0,00 €;0;0,00 €;"led-streifen - controller";"combine with ESP32-S3 TFT reverse";"to protect against reverse powering the powerbank when the controller is connected to a computer";;;;;;
;"SS 13ASP Schiebeschalter 1x UM, stehend, Print, RM 4,7";"https://www.reichelt.de/schiebeschalter-1x-um-stehend-print-rm-4-7-ss-13asp-p112182.html?&trstct=pol_13&nbc=1";1,80 €;1;1,80 €;10;18,00 €;"powerbank - controller";"simple on off switch..";;;;;;;
;"USB AWF USB-Einbaustecker, Serie A, gewinkelt, ultraflach";"https://www.reichelt.de/usb-einbaustecker-serie-a-gewinkelt-ultraflach-usb-awf-p51993.html?&nbc=1";0,31 €;1;0,31 €;10;3,10 €;"powerbank - controller";;;;;;;;
;;;;;;;;;;;;;;;;
"gehäuse & co";"Schrumpfschlauch transparent - Ø25,4mm 2:1; 5m";"https://www.reichelt.de/schrumpfschlauch-box-5m-transparent-25-4mm-sdb-25-4-tr-p53815.html?&trstct=pos_7&nbc=1";7,01 €;0,08;0,56 €;;;;;;;;;;;
;"holz";"https://cwwh.de/";10,00 €;1;10,00 €;;;"TO BE DEFINED";;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"Summe";;;;;47,77 €;;;;;;;;;;;
